Category,Item,Quantity,Dimensions,Format,Prompt Template,File Name Pattern,Priority,Notes
Loading Screens,Main Loading Screen,1,1920x1080,PNG,"Futuristic music studio interior, neon lights, DJ equipment, turntables, synthesizers, urban cyberpunk aesthetic, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, no photorealism, dynamic composition",loading-screen-main.png,HIGH,Full screen background
Loading Screens,Mini Loading Spinner,1,128x128,PNG,"Spinning vinyl record icon, glowing neon effect, cel-shaded art style, bold outlines, flat colors, 2000s game aesthetic, simple iconic design",loading-spinner.png,HIGH,Animated loading indicator

Equipment,Phone Level 0-10,11,512x512,JPG,"[LEVEL] smartphone/recording device for music production, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, tech progression from basic to legendary, isometric view, clean background",equipment/phone-[0-10].jpg,DONE,Already generated ✓
Equipment,Headphones Level 0-10,11,512x512,JPG,"[LEVEL] studio headphones for music production, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from basic to legendary, isometric view, clean background",equipment/headphones-[0-10].jpg,DONE,Already generated ✓
Equipment,Microphone Level 0-10,11,512x512,JPG,"[LEVEL] studio microphone for recording, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from USB to vintage tube, isometric view, clean background",equipment/microphone-[0-10].jpg,DONE,Already generated ✓
Equipment,Computer Level 0-10,11,512x512,JPG,"[LEVEL] music production computer/workstation, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from laptop to quantum studio, isometric view, clean background",equipment/computer-[0-10].jpg,DONE,Already generated ✓
Equipment,MIDI Controller Level 0-10,11,512x512,JPG,"[LEVEL] MIDI keyboard controller, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from 25-key to Moog One, isometric view, clean background",equipment/midi-[0-10].jpg,DONE,Already generated ✓
Equipment,Audio Interface Level 0-10,11,512x512,JPG,"[LEVEL] audio interface rack unit, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from Focusrite to Burl Audio, isometric view, clean background",equipment/audio-interface-[0-10].jpg,DONE,Already generated ✓

Artists,MC Flow Portrait,1,256x256,PNG,"Young hip-hop artist character portrait, confident expression, urban streetwear, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design like Jet Set Radio, anime influence, colorful background",artists/mc-flow.png,HIGH,Tier 1 artist
Artists,Lil Dreamer Portrait,1,256x256,PNG,"Dreamy trap artist character portrait, stylish outfit, modern aesthetic, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, anime influence, purple/pink tones",artists/lil-dreamer.png,HIGH,Tier 1 artist
Artists,Street Poet Portrait,1,256x256,PNG,"Underground rapper character portrait, hoodie and chains, street style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, gritty urban vibe",artists/street-poet.png,HIGH,Tier 1 artist
Artists,Young Legend Portrait,1,256x256,PNG,"Rising star artist character portrait, confident pose, premium fashion, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, golden accents",artists/young-legend.png,HIGH,Tier 1 artist
Artists,Neon Pulse Portrait,1,256x256,PNG,"Electronic music producer character portrait, futuristic outfit, neon accessories, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, cyberpunk aesthetic",artists/neon-pulse.png,MEDIUM,Tier 2 artist
Artists,Bass Queen Portrait,1,256x256,PNG,"Female bass music producer character portrait, edgy style, confident expression, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, electric blue theme",artists/bass-queen.png,MEDIUM,Tier 2 artist
Artists,Rhythm Master Portrait,1,256x256,PNG,"Veteran producer character portrait, wise expression, classic style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, gold and red tones",artists/rhythm-master.png,MEDIUM,Tier 3 artist
Artists,Sound Architect Portrait,1,256x256,PNG,"Elite producer character portrait, sophisticated look, premium aesthetic, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, platinum and white theme",artists/sound-architect.png,MEDIUM,Tier 3 artist

Skills,Production Mastery Icon,1,128x128,PNG,"Mixing console icon with glowing faders, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, simple and iconic, gold accent",skills/production-mastery.png,HIGH,Quality branch root
Skills,Perfect Mix Icon,1,128x128,PNG,"Equalizer bars perfectly balanced, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, glowing green",skills/perfect-mix.png,HIGH,+5% quality
Skills,Studio Magic Icon,1,128x128,PNG,"Sparkling waveform with magic particles, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, purple glow",skills/studio-magic.png,HIGH,+10% quality
Skills,Legendary Sound Icon,1,128x128,PNG,"Golden trophy with sound waves, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, radiant gold",skills/legendary-sound.png,HIGH,+20% quality
Skills,Business Savvy Icon,1,128x128,PNG,"Dollar sign with upward arrow, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, green money theme",skills/business-savvy.png,HIGH,Money branch root
Skills,Smart Deals Icon,1,128x128,PNG,"Handshake with coins, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, blue and gold",skills/smart-deals.png,HIGH,+10% price
Skills,Market Genius Icon,1,128x128,PNG,"Brain with dollar symbols, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, bright cyan",skills/market-genius.png,HIGH,+25% price
Skills,Mogul Status Icon,1,128x128,PNG,"Crown with money rain, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, royal gold and purple",skills/mogul-status.png,HIGH,+50% price
Skills,Energy Flow Icon,1,128x128,PNG,"Lightning bolt with circular flow, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, electric yellow",skills/energy-flow.png,HIGH,Energy branch root
Skills,Caffeine Rush Icon,1,128x128,PNG,"Coffee cup with energy waves, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, brown and orange",skills/caffeine-rush.png,HIGH,-10% energy cost
Skills,Stamina Icon,1,128x128,PNG,"Battery at full charge, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, bright green",skills/stamina.png,HIGH,+20 max energy
Skills,Endless Grind Icon,1,128x128,PNG,"Infinity symbol with energy particles, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, rainbow gradient",skills/endless-grind.png,HIGH,+1 energy/min

Contracts,Street Hustle Contract,1,400x300,PNG,"Urban street corner with graffiti and boombox, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game aesthetic, gritty but colorful",contracts/street-hustle.png,MEDIUM,Easy contract
Contracts,Bedroom Producer Contract,1,400x300,PNG,"Cozy bedroom studio setup with laptop and headphones, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game aesthetic, warm lighting",contracts/bedroom-producer.png,MEDIUM,Easy contract
Contracts,Local Club Contract,1,400x300,PNG,"Small nightclub interior with DJ booth and crowd, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game aesthetic, neon lights",contracts/local-club.png,MEDIUM,Medium contract
Contracts,Radio Play Contract,1,400x300,PNG,"Radio station studio with microphone and mixing board, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game aesthetic, retro-futuristic",contracts/radio-play.png,MEDIUM,Medium contract
Contracts,Festival Stage Contract,1,400x300,PNG,"Large outdoor festival stage with massive crowd, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game aesthetic, epic scale",contracts/festival-stage.png,MEDIUM,Hard contract
Contracts,Stadium Tour Contract,1,400x300,PNG,"Huge stadium concert with pyrotechnics and lights, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game aesthetic, legendary atmosphere",contracts/stadium-tour.png,MEDIUM,Hard contract

Labels,Underground Records Logo,1,256x256,PNG,"Independent record label logo, graffiti style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI, urban aesthetic",labels/underground-records.png,MEDIUM,Tier 1 label
Labels,Neon Beats Logo,1,256x256,PNG,"Electronic music label logo, neon sign style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI, cyberpunk theme",labels/neon-beats.png,MEDIUM,Tier 2 label
Labels,Platinum Empire Logo,1,256x256,PNG,"Major record label logo, luxury brand style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI, gold and platinum",labels/platinum-empire.png,MEDIUM,Tier 3 label

Achievements,First Beat Badge,1,128x128,PNG,"Bronze medal with musical note, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, shiny bronze",achievements/first-beat.png,LOW,Create first beat
Achievements,Money Maker Badge,1,128x128,PNG,"Silver coin stack with dollar sign, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, metallic silver",achievements/money-maker.png,LOW,Earn $1000
Achievements,Rising Star Badge,1,128x128,PNG,"Gold star with sparkles, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, radiant gold",achievements/rising-star.png,LOW,Reach 1000 reputation
Achievements,Studio Owner Badge,1,128x128,PNG,"Platinum building with music notes, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, platinum shine",achievements/studio-owner.png,LOW,Max all equipment
Achievements,Label Boss Badge,1,128x128,PNG,"Diamond crown with record, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, rainbow diamond",achievements/label-boss.png,LOW,Sign all labels
Achievements,Perfect Score Badge,1,128x128,PNG,"Rainbow trophy with 100%, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, holographic effect",achievements/perfect-score.png,LOW,100% rhythm game
Achievements,Streak Master Badge,1,128x128,PNG,"Flame icon with number 7, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, fire theme",achievements/streak-master.png,LOW,7 day streak
Achievements,Beat Factory Badge,1,128x128,PNG,"Factory with musical notes, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game achievement icon, industrial theme",achievements/beat-factory.png,LOW,Create 100 beats

Backgrounds,Studio Background,1,1920x1080,PNG,"Modern music production studio interior, equipment on walls, neon accent lighting, cel-shaded art style, bold outlines, flat vibrant colors, 2000s game environment, depth and atmosphere",backgrounds/studio.png,MEDIUM,Studio screen background
Backgrounds,Stage Background,1,1920x1080,PNG,"Concert stage with lights and equipment, urban venue, cel-shaded art style, bold outlines, flat vibrant colors, 2000s game environment, dynamic lighting",backgrounds/stage.png,MEDIUM,Stage screen background
Backgrounds,City Night Background,1,1920x1080,PNG,"Cyberpunk city skyline at night, neon signs, flying cars, cel-shaded art style, bold outlines, flat vibrant colors, 2000s game environment like Jet Set Radio Future",backgrounds/city-night.png,LOW,Menu background option
Backgrounds,Recording Booth Background,1,1920x1080,PNG,"Professional recording booth interior, soundproofing, microphone setup, cel-shaded art style, bold outlines, flat vibrant colors, 2000s game environment",backgrounds/recording-booth.png,LOW,Rhythm game background

UI Elements,Beat Cover Default,1,512x512,PNG,"Abstract music visualization, colorful waveforms and particles, cel-shaded art style, bold outlines, flat vibrant colors, 2000s game aesthetic, dynamic composition",ui/beat-cover-default.png,HIGH,Default beat artwork
UI Elements,Energy Bar Fill,1,32x32,PNG,"Lightning bolt pattern, cel-shaded art style, bold outlines, bright yellow and orange, 2000s game UI, tileable",ui/energy-bar-fill.png,MEDIUM,Energy bar texture
UI Elements,Money Icon,1,64x64,PNG,"Dollar bill with wings, cel-shaded art style, bold black outlines, flat green, 2000s game UI icon, simple and clear",ui/money-icon.png,HIGH,Currency display
UI Elements,Reputation Icon,1,64x64,PNG,"Star with upward arrow, cel-shaded art style, bold black outlines, flat gold, 2000s game UI icon, simple and clear",ui/reputation-icon.png,HIGH,Reputation display
UI Elements,Energy Icon,1,64x64,PNG,"Lightning bolt, cel-shaded art style, bold black outlines, flat yellow, 2000s game UI icon, simple and clear",ui/energy-icon.png,HIGH,Energy display

Daily Tasks,Create Beat Task Icon,1,96x96,PNG,"Musical note with checkmark, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game task icon, blue theme",tasks/create-beat.png,MEDIUM,Daily task icon
Daily Tasks,Sell Beat Task Icon,1,96x96,PNG,"Money bag with musical note, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game task icon, green theme",tasks/sell-beat.png,MEDIUM,Daily task icon
Daily Tasks,Upgrade Equipment Task Icon,1,96x96,PNG,"Wrench with upward arrow, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game task icon, orange theme",tasks/upgrade-equipment.png,MEDIUM,Daily task icon
Daily Tasks,Play Rhythm Game Task Icon,1,96x96,PNG,"Game controller with music notes, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game task icon, purple theme",tasks/play-rhythm.png,MEDIUM,Daily task icon
Daily Tasks,Hire Artist Task Icon,1,96x96,PNG,"Handshake with star, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game task icon, pink theme",tasks/hire-artist.png,MEDIUM,Daily task icon

Results Screen,Perfect Rank Icon,1,256x256,PNG,"S-rank golden trophy with sparkles, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game rank icon, radiant gold",results/rank-perfect.png,HIGH,90-100% accuracy
Results Screen,Great Rank Icon,1,256x256,PNG,"A-rank silver star with glow, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game rank icon, shiny silver",results/rank-great.png,HIGH,70-89% accuracy
Results Screen,Good Rank Icon,1,256x256,PNG,"B-rank bronze medal, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game rank icon, bronze shine",results/rank-good.png,HIGH,50-69% accuracy
Results Screen,Try Again Icon,1,256x256,PNG,"C-rank gray badge, cel-shaded art style, bold black outlines, flat colors, 2000s game rank icon, encouraging design",results/rank-retry.png,HIGH,0-49% accuracy

Reputation Tiers,Bedroom Producer Badge,1,128x128,PNG,"Laptop with headphones icon, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game badge, bronze tier",reputation/tier-1-bedroom.png,LOW,0-500 rep
Reputation Tiers,Local Talent Badge,1,128x128,PNG,"Microphone with city skyline, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game badge, silver tier",reputation/tier-2-local.png,LOW,500-2000 rep
Reputation Tiers,Rising Star Badge,1,128x128,PNG,"Star with upward trajectory, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game badge, gold tier",reputation/tier-3-rising.png,LOW,2000-5000 rep
Reputation Tiers,Established Artist Badge,1,128x128,PNG,"Crown with musical notes, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game badge, platinum tier",reputation/tier-4-established.png,LOW,5000-15000 rep
Reputation Tiers,Industry Legend Badge,1,128x128,PNG,"Diamond record with aura, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game badge, diamond tier",reputation/tier-5-legend.png,LOW,15000-50000 rep
Reputation Tiers,Global Icon Badge,1,128x128,PNG,"Globe with crown and stars, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game badge, rainbow legendary tier",reputation/tier-6-icon.png,LOW,50000+ rep
