Category,Item,Level,Filename,Size,Format,Priority,Prompt
Equipment,Phone,0,equipment/phone-0.jpg,512x512,JPG,HIGH,"Broken old flip phone device with cracked screen, gray/brown colors, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,1,equipment/phone-1.jpg,512x512,JPG,HIGH,"Basic flip phone device with small screen, bronze/copper metallic finish, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,2,equipment/phone-2.jpg,512x512,JPG,HIGH,"Early smartphone device with physical keyboard, bronze metallic body with orange accents, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,3,equipment/phone-3.jpg,512x512,JPG,HIGH,"Modern touchscreen smartphone device, silver metallic finish with blue glowing screen, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,4,equipment/phone-4.jpg,512x512,JPG,HIGH,"Premium smartphone device with large screen, silver body with cyan glowing display, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,5,equipment/phone-5.jpg,512x512,JPG,HIGH,"Professional tablet device for music production, gold metallic finish with green interface glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,6,equipment/phone-6.jpg,512x512,JPG,HIGH,"Advanced production tablet device, gold body with purple holographic display, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,7,equipment/phone-7.jpg,512x512,JPG,HIGH,"Futuristic tablet device with holographic interface, platinum metallic body with pink glowing screens, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,8,equipment/phone-8.jpg,512x512,JPG,HIGH,"High-tech tablet device with floating holographic screens, platinum finish with magenta energy glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,9,equipment/phone-9.jpg,512x512,JPG,HIGH,"Legendary smartphone device with crystal-like surface, rainbow iridescent metallic body with multi-color glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Phone,10,equipment/phone-10.jpg,512x512,JPG,HIGH,"Divine smartphone device with ethereal appearance, pure white metallic body with golden rainbow aura and star particles, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,0,equipment/headphones-0.jpg,512x512,JPG,HIGH,"Broken earbuds with exposed wires, gray/brown damaged appearance, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,1,equipment/headphones-1.jpg,512x512,JPG,HIGH,"Basic wired earbuds, bronze/copper color with simple design, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,2,equipment/headphones-2.jpg,512x512,JPG,HIGH,"Over-ear headphones with padded cups, bronze metallic with orange cushions, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,3,equipment/headphones-3.jpg,512x512,JPG,HIGH,"Wireless headphones, silver metallic body with blue LED indicators, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,4,equipment/headphones-4.jpg,512x512,JPG,HIGH,"Studio monitoring headphones, silver with cyan accents and thick cable, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,5,equipment/headphones-5.jpg,512x512,JPG,HIGH,"Premium studio headphones, gold metallic with green velvet cushions, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,6,equipment/headphones-6.jpg,512x512,JPG,HIGH,"Luxury headphones with wood accents, gold body with purple leather cushions, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,7,equipment/headphones-7.jpg,512x512,JPG,HIGH,"Futuristic headphones with holographic display, platinum with pink energy glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,8,equipment/headphones-8.jpg,512x512,JPG,HIGH,"Advanced tech headphones with floating elements, platinum with magenta light trails, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,9,equipment/headphones-9.jpg,512x512,JPG,HIGH,"Legendary crystal headphones, rainbow iridescent with multi-color aura, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Headphones,10,equipment/headphones-10.jpg,512x512,JPG,HIGH,"Divine audio crown, pure white with golden rainbow halo and star particles, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,0,equipment/microphone-0.jpg,512x512,JPG,HIGH,"Broken karaoke mic with cracked grille, gray/brown damaged look, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,1,equipment/microphone-1.jpg,512x512,JPG,HIGH,"Basic USB microphone on small stand, bronze/copper metallic finish, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,2,equipment/microphone-2.jpg,512x512,JPG,HIGH,"Condenser microphone with shock mount, bronze body with orange accents, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,3,equipment/microphone-3.jpg,512x512,JPG,HIGH,"Professional large microphone, silver metallic with blue LED ring, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,4,equipment/microphone-4.jpg,512x512,JPG,HIGH,"Vintage-style tube microphone, silver body with cyan glow from tubes, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,5,equipment/microphone-5.jpg,512x512,JPG,HIGH,"Premium ribbon microphone, gold metallic with green fabric grille, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,6,equipment/microphone-6.jpg,512x512,JPG,HIGH,"Rare vintage microphone replica, gold with purple velvet details, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,7,equipment/microphone-7.jpg,512x512,JPG,HIGH,"Futuristic holographic microphone, platinum with pink energy field, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,8,equipment/microphone-8.jpg,512x512,JPG,HIGH,"Quantum vocal device with floating rings, platinum with magenta light beams, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,9,equipment/microphone-9.jpg,512x512,JPG,HIGH,"Legendary crystal microphone, rainbow iridescent with multi-color sparkles, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Microphone,10,equipment/microphone-10.jpg,512x512,JPG,HIGH,"Divine sonic scepter, pure white with golden rainbow rays and star particles, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,0,equipment/computer-0.jpg,512x512,JPG,HIGH,"Old broken laptop with cracked screen, gray/brown damaged appearance, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,1,equipment/computer-1.jpg,512x512,JPG,HIGH,"Basic budget laptop with small screen, bronze/copper color casing, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,2,equipment/computer-2.jpg,512x512,JPG,HIGH,"Desktop PC with monitor, bronze tower with orange screen glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,3,equipment/computer-3.jpg,512x512,JPG,HIGH,"Gaming PC with glowing case, silver tower with blue LED lights, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,4,equipment/computer-4.jpg,512x512,JPG,HIGH,"Professional workstation with dual monitors, silver with cyan screen glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,5,equipment/computer-5.jpg,512x512,JPG,HIGH,"Custom production PC with liquid cooling, gold case with green coolant glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,6,equipment/computer-6.jpg,512x512,JPG,HIGH,"High-end tower workstation, gold metallic with purple accent lights, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,7,equipment/computer-7.jpg,512x512,JPG,HIGH,"Futuristic holographic workstation, platinum with pink floating screens, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,8,equipment/computer-8.jpg,512x512,JPG,HIGH,"Quantum computing array with energy cores, platinum with magenta power glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,9,equipment/computer-9.jpg,512x512,JPG,HIGH,"Legendary crystal computer, rainbow iridescent with multi-color energy, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,Computer,10,equipment/computer-10.jpg,512x512,JPG,HIGH,"Divine cosmic mainframe, pure white with golden rainbow aura and star particles, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,0,equipment/midi-0.jpg,512x512,JPG,HIGH,"Broken toy keyboard with stuck keys, gray/brown damaged look, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,1,equipment/midi-1.jpg,512x512,JPG,HIGH,"Small 25-key MIDI keyboard, bronze/copper metallic finish, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,2,equipment/midi-2.jpg,512x512,JPG,HIGH,"49-key MIDI controller with pads, bronze body with orange accents, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,3,equipment/midi-3.jpg,512x512,JPG,HIGH,"61-key professional controller, silver metallic with blue LED buttons, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,4,equipment/midi-4.jpg,512x512,JPG,HIGH,"88-key weighted piano controller, silver with cyan light strips, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,5,equipment/midi-5.jpg,512x512,JPG,HIGH,"Modular MIDI workstation with pads and knobs, gold with green backlit controls, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,6,equipment/midi-6.jpg,512x512,JPG,HIGH,"Vintage synthesizer with wood panels, gold body with purple glowing keys, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,7,equipment/midi-7.jpg,512x512,JPG,HIGH,"Futuristic holographic keyboard, platinum with pink floating keys, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,8,equipment/midi-8.jpg,512x512,JPG,HIGH,"Quantum MIDI device with energy keys, platinum with magenta light trails, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,9,equipment/midi-9.jpg,512x512,JPG,HIGH,"Legendary crystal keyboard, rainbow iridescent with multi-color glow, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
Equipment,MIDI Controller,10,equipment/midi-10.jpg,512x512,JPG,HIGH,"Divine cosmic keyboard, pure white with golden rainbow aura and star particles, isolated on solid dark gray background (#2a2a2a), centered, cel-shaded art style with bold black outlines, flat colors, 2000s video game aesthetic, no shadows, no floor, simple clean composition"
