Category,Item,Quantity,Size,Format,Prompt,Filename,Priority
Skill Icon,Energy Efficiency Skill,1,128x128,PNG,"Icon of lightning bolt with efficiency arrows, bright yellow and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-energy-efficiency.png,HIGH
Skill Icon,Caffeine Rush Skill,1,128x128,PNG,"Icon of steaming coffee cup with energy waves, brown and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-caffeine-rush.png,HIGH
Skill Icon,Stamina Skill,1,128x128,PNG,"Icon of flexed muscle with endurance symbol, red and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-stamina.png,HIGH
Skill Icon,Quality Boost Skill,1,128x128,PNG,"Icon of diamond with sparkles, cyan and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-quality-boost.png,HIGH
Skill Icon,Perfectionist Skill,1,128x128,PNG,"Icon of golden star with precision rays, gold and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-perfectionist.png,HIGH
Skill Icon,Master Craftsman Skill,1,128x128,PNG,"Icon of legendary hammer and anvil, purple and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-master-craftsman.png,HIGH
Skill Icon,Hustler Skill,1,128x128,PNG,"Icon of dollar bills with motion lines, green and lime colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-hustler.png,HIGH
Skill Icon,Negotiator Skill,1,128x128,PNG,"Icon of handshake with money symbols, teal and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-negotiator.png,HIGH
Skill Icon,Mogul Skill,1,128x128,PNG,"Icon of crown with stacks of cash, royal purple and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-mogul.png,HIGH
Contract Image,Quick Beat Contract,1,512x384,PNG,"Contract document with stopwatch icon, urgent deadline theme, orange and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-quick-beat.png,MEDIUM
Contract Image,Quality Demo Contract,1,512x384,PNG,"Contract document with diamond quality badge, premium theme, cyan and silver colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-quality-demo.png,MEDIUM
Contract Image,Artist Collab Contract,1,512x384,PNG,"Contract document with two microphones crossed, collaboration theme, purple and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-artist-collab.png,MEDIUM
Contract Image,Hit Single Contract,1,512x384,PNG,"Contract document with platinum record, hit song theme, gold and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-hit-single.png,MEDIUM
Contract Image,Album Deal Contract,1,512x384,PNG,"Contract document with vinyl record stack, album theme, red and black colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-album-deal.png,MEDIUM
Contract Image,Legendary Track Contract,1,512x384,PNG,"Contract document with legendary trophy, epic theme, rainbow gradient and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-legendary-track.png,MEDIUM
Label Logo,Underground Records Label,1,256x256,PNG,"Logo of underground hip-hop label, graffiti style text, urban aesthetic, red and black colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, record label logo",label-underground-records.png,MEDIUM
Label Logo,Street Sound Label,1,256x256,PNG,"Logo of street music label, bold typography, concrete texture, gray and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, record label logo",label-street-sound.png,MEDIUM
Label Logo,Empire Music Label,1,256x256,PNG,"Logo of major music empire, crown and skyline, luxury aesthetic, gold and purple colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, record label logo",label-empire-music.png,MEDIUM
Achievement Badge,First Beat Achievement,1,128x128,PNG,"Badge with musical note and '1st' ribbon, beginner achievement, blue and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-first-beat.png,LOW
Achievement Badge,10 Beats Achievement,1,128x128,PNG,"Badge with '10' and beat symbols, milestone achievement, green and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-10-beats.png,LOW
Achievement Badge,100 Beats Achievement,1,128x128,PNG,"Badge with '100' and platinum record, major milestone, silver and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-100-beats.png,LOW
Achievement Badge,First Sale Achievement,1,128x128,PNG,"Badge with dollar sign and handshake, first sale, green and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-first-sale.png,LOW
Achievement Badge,Millionaire Achievement,1,128x128,PNG,"Badge with money stack and crown, wealth milestone, gold and green colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-millionaire.png,LOW
Achievement Badge,Perfect Beat Achievement,1,128x128,PNG,"Badge with 100% and sparkles, perfect quality, rainbow and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-perfect-beat.png,LOW
Achievement Badge,Rising Star Achievement,1,128x128,PNG,"Badge with rising star and reputation symbol, reputation milestone, yellow and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-rising-star.png,LOW
Achievement Badge,Legend Status Achievement,1,128x128,PNG,"Badge with legendary crown and aura, max reputation, purple and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-legend-status.png,LOW
Achievement Badge,Equipment Master Achievement,1,128x128,PNG,"Badge with all equipment symbols, full upgrades, cyan and silver colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-equipment-master.png,LOW
Achievement Badge,Artist Network Achievement,1,128x128,PNG,"Badge with connected artist icons, all artists unlocked, pink and purple colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-artist-network.png,LOW
Achievement Badge,Daily Grind Achievement,1,128x128,PNG,"Badge with calendar and checkmarks, daily streak, orange and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-daily-grind.png,LOW
Achievement Badge,Week Warrior Achievement,1,128x128,PNG,"Badge with 7-day streak flame, weekly milestone, red and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-week-warrior.png,LOW
Achievement Badge,Month Master Achievement,1,128x128,PNG,"Badge with 30-day trophy, monthly milestone, gold and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, achievement icon",achievement-month-master.png,LOW
Daily Task Icon,Create Beats Task,1,96x96,PNG,"Icon of musical note with checkmark, task completion symbol, blue and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, task icon",task-create-beats.png,MEDIUM
Daily Task Icon,Sell Beats Task,1,96x96,PNG,"Icon of dollar sign with arrow, sales task symbol, green and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, task icon",task-sell-beats.png,MEDIUM
Daily Task Icon,Upgrade Equipment Task,1,96x96,PNG,"Icon of wrench with upgrade arrow, improvement task, orange and gray colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, task icon",task-upgrade-equipment.png,MEDIUM
Daily Task Icon,Play Rhythm Game Task,1,96x96,PNG,"Icon of game controller with music notes, gameplay task, purple and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, task icon",task-play-rhythm.png,MEDIUM
Daily Task Icon,Earn Money Task,1,96x96,PNG,"Icon of money bag with coins, earning task, gold and green colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, task icon",task-earn-money.png,MEDIUM
UI Element,Energy Bar Fill,1,256x32,PNG,"Energy bar gradient fill, electric blue to cyan, glowing effect, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI element",ui-energy-bar.png,HIGH
UI Element,Money Counter Icon,1,64x64,PNG,"Dollar sign with sparkle effect, money UI symbol, gold and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI icon",ui-money-icon.png,HIGH
UI Element,Reputation Star Icon,1,64x64,PNG,"Star with reputation glow, fame symbol, yellow and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI icon",ui-reputation-icon.png,HIGH
UI Element,Beat Quality Meter,1,256x64,PNG,"Quality meter with gradient from red to gold, quality indicator, rainbow gradient, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI element",ui-quality-meter.png,HIGH
UI Element,Level Up Banner,1,512x128,PNG,"'LEVEL UP!' text with explosion effect, celebration banner, gold and rainbow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI banner",ui-level-up.png,MEDIUM
UI Element,New Unlock Banner,1,512x128,PNG,"'NEW UNLOCK!' text with sparkles, unlock notification, cyan and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI banner",ui-new-unlock.png,MEDIUM
UI Element,Quest Complete Banner,1,512x128,PNG,"'QUEST COMPLETE!' text with checkmark, completion banner, green and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, UI banner",ui-quest-complete.png,MEDIUM
